# Logfile created on 2017-12-19 21:06:27 -0500 by logger.rb/56815
E, [2017-12-19T21:06:27.693698 #12120] ERROR -- Pubnub: 
D, [2017-12-19T21:42:43.626906 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=YXeuztJUYryriYXiPrN4K02y0n_wL_4LIiBl47_tMqY%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=0
D, [2017-12-19T21:42:43.773979 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=kTK0Tq4QDiT8DS34gaJpYq90D3BjKz-yEFLAmN2vE9w%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=1
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=UtL_3pHN0SUGAM3bYsiiMTU5vPHogsdvpforih_DH5U%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=1
D, [2017-12-19T21:42:43.883810 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.883810 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:18:57.852916 #10692] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-29T11:18:57.857007 #10692] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-29T11:18:57.857007 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:18:57.857007 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:18:57.857007 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:18:57.872640 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:18:57.872640 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:18:57.872640 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:18:57.872640 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:18:57.903889 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=J6PtFmykZuhPaSccKMqDnsYI2TTbDlJc20dY0fHUYiY%3D&timestamp=1514571537&ttl=0&uuid=6f96b0ae-e30b-46b7-b001-2310b323fbd5&w=0
D, [2017-12-29T11:18:58.462534 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:18:58.462534 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:18:58.467623 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:18:58.468575 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:18:58.469625 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:18:58.469625 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:18:58.469625 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:18:58.469625 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:18:58.470590 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:18:58.471621 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=xMZWAZKZRBuKSm06W5CBb6sdudJVM6GC6eLoOtZtCuc%3D&timestamp=1514571538&ttl=0&uuid=6f96b0ae-e30b-46b7-b001-2310b323fbd5&w=1
D, [2017-12-29T11:18:58.513874 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:18:58.514905 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:18:58.517905 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:18:58.518910 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:18:58.519915 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:18:58.519915 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:18:58.519915 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:18:58.520923 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:18:58.520923 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:18:58.521953 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=lB3Ji20dxOaOGsbnjgaoueceAy4Z4A7pftM_aRkyWsM%3D&timestamp=1514571538&ttl=0&uuid=6f96b0ae-e30b-46b7-b001-2310b323fbd5&w=1
D, [2017-12-29T11:18:58.565217 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:18:58.566222 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:23:20.280207 #9008] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:23:20.295834 #9008] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=aAmKGEwCbFTLp2vGVT6OOaSRId3J_7nV3N0w_gxwKdg%3D&timestamp=1514571800&ttl=0&uuid=d63d1758-b1c2-462e-ba6f-bad8a8b7b819&w=0
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:23:20.405272 #9008] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=xRbJaEEltePjGkuibGyaF0r4tSzbyKbk2CxtpuWkB8A%3D&timestamp=1514571800&ttl=0&uuid=d63d1758-b1c2-462e-ba6f-bad8a8b7b819&w=1
D, [2017-12-29T11:23:20.452171 #9008] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:23:20.452171 #9008] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-29T11:23:20.452171 #9008] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-29T11:23:20.467788 #9008] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=YAUmUvBA2OhBwF3iqAt1b3axw7oOYmd37pXfWzxMdRA%3D&timestamp=1514571800&ttl=0&uuid=d63d1758-b1c2-462e-ba6f-bad8a8b7b819&w=1
D, [2017-12-29T11:23:20.545932 #9008] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-29T11:23:20.545932 #9008] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:44:46.305133 #10692] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-30T07:44:46.333502 #10692] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-30T07:44:46.336040 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:44:46.336543 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:44:46.337557 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:44:46.337557 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:44:46.337557 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:44:46.338062 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:44:46.338570 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:44:46.396857 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=sltNFGT5vvupW0LjD-DIBSUmZ4SHjKWRpAM48qRhBzQ%3D&timestamp=1514645086&ttl=0&uuid=9de27e78-db0f-44ec-97d3-dd18c3754fc4&w=0
D, [2017-12-30T07:44:47.745080 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:44:47.745583 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:44:47.750142 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:44:47.750650 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:44:47.751664 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:44:47.752675 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:44:47.753183 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:44:47.753183 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:44:47.753692 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:44:47.754705 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=YP8gVZC_CNEvm023Y7BEEoCKc3hzworU5NkqQvLEVKg%3D&timestamp=1514645087&ttl=0&uuid=9de27e78-db0f-44ec-97d3-dd18c3754fc4&w=1
D, [2017-12-30T07:44:47.809930 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:44:47.818546 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:44:47.826147 #10692] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:44:47.827157 #10692] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:44:47.828675 #10692] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:44:47.829690 #10692] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:44:47.830196 #10692] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:44:47.830196 #10692] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:44:47.830705 #10692] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:44:47.833238 #10692] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=y8aXHrixMieEFrlBdR_q6FjDve43Wj8axcU9XcpRtiQ%3D&timestamp=1514645087&ttl=0&uuid=9de27e78-db0f-44ec-97d3-dd18c3754fc4&w=1
D, [2017-12-30T07:44:47.898596 #10692] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:44:47.899104 #10692] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:48:51.836248 #4140] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-30T07:48:51.838276 #4140] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-30T07:48:51.861075 #4140] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:48:51.862594 #4140] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:48:51.865130 #4140] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:48:51.866146 #4140] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:48:51.867157 #4140] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:48:51.867664 #4140] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:48:51.869184 #4140] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:48:51.871209 #4140] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=w5r-9nc3vhd9GZv9413rZRmiT8L2Sun2IZEoBdc4_VA%3D&timestamp=1514645331&ttl=0&uuid=589f4faf-a6e4-45c5-9986-8150cbfc4744&w=0
D, [2017-12-30T07:48:52.199532 #4140] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:48:52.200034 #4140] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:48:52.206642 #4140] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:48:52.207165 #4140] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:48:52.208138 #4140] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:48:52.208664 #4140] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:48:52.209152 #4140] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:48:52.209152 #4140] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:48:52.209671 #4140] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:48:52.211178 #4140] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=hUwv7A_7xolwdP-IdvpkF_JEMA-XocaoydeDmMbDEoM%3D&timestamp=1514645332&ttl=0&uuid=589f4faf-a6e4-45c5-9986-8150cbfc4744&w=1
D, [2017-12-30T07:48:52.260835 #4140] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:48:52.262387 #4140] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:48:52.275051 #4140] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:48:52.276571 #4140] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:48:52.278120 #4140] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:48:52.278597 #4140] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:48:52.279120 #4140] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:48:52.279611 #4140] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:48:52.279611 #4140] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:48:52.282652 #4140] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=LvvHgDjjO3oSLO45oWbBdzsSjTeevP0L-ZoWd8--JHg%3D&timestamp=1514645332&ttl=0&uuid=589f4faf-a6e4-45c5-9986-8150cbfc4744&w=1
D, [2017-12-30T07:48:52.334842 #4140] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:48:52.335347 #4140] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:49:41.855247 #14280] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-30T07:49:41.857295 #14280] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-30T07:49:41.865887 #14280] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:49:41.867912 #14280] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:49:41.870951 #14280] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:49:41.872980 #14280] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:49:41.875007 #14280] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:49:41.875513 #14280] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:49:41.879569 #14280] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:49:41.886152 #14280] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=MV55FmdW_fnFUyAscFQYkUMwkqkLGr7IpXKa6-KB6rs%3D&timestamp=1514645381&ttl=0&uuid=569c6ffb-7155-4a23-96c3-37a4dcacb3b8&w=0
D, [2017-12-30T07:49:41.993059 #14280] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:49:41.994579 #14280] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:49:42.000150 #14280] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:49:42.000657 #14280] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:49:42.001671 #14280] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:49:42.002179 #14280] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:49:42.002684 #14280] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:49:42.003191 #14280] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:49:42.003191 #14280] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:49:42.004711 #14280] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=-4mH4uN9tHEuTh7F2b9urJyb8gpcB1cu1b4Rrl-altE%3D&timestamp=1514645381&ttl=0&uuid=569c6ffb-7155-4a23-96c3-37a4dcacb3b8&w=1
D, [2017-12-30T07:49:42.047300 #14280] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:49:42.047788 #14280] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:49:42.050848 #14280] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:49:42.051838 #14280] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:49:42.053375 #14280] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:49:42.053857 #14280] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:49:42.054366 #14280] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:49:42.054366 #14280] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:49:42.055403 #14280] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:49:42.056415 #14280] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=vJe1aZZbaG916O50OQC3r5rAIvsLR_pARMEDrQBnBGQ%3D&timestamp=1514645382&ttl=0&uuid=569c6ffb-7155-4a23-96c3-37a4dcacb3b8&w=1
D, [2017-12-30T07:49:42.099483 #14280] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:49:42.099988 #14280] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:58:02.107866 #4344] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-30T07:58:02.109386 #4344] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-30T07:58:02.111922 #4344] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:58:02.112426 #4344] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:58:02.113947 #4344] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:58:02.113947 #4344] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:58:02.114964 #4344] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:58:02.115972 #4344] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:58:02.118004 #4344] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:58:02.121550 #4344] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=wpIkdZv7cUBnfT1WieJkSLifEbTr7fDhQSfwyCa2nG8%3D&timestamp=1514645882&ttl=0&uuid=3c3a75bf-4848-4842-9e4a-858d8ecef728&w=0
D, [2017-12-30T07:58:02.314592 #4344] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:58:02.316105 #4344] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:58:02.332827 #4344] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:58:02.334349 #4344] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:58:02.336376 #4344] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:58:02.338400 #4344] DEBUG -- Pubnub::Event: #send_request called
