# Logfile created on 2017-12-19 21:06:27 -0500 by logger.rb/56815
E, [2017-12-19T21:06:27.693698 #12120] ERROR -- Pubnub: 
D, [2017-12-19T21:42:43.626906 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=YXeuztJUYryriYXiPrN4K02y0n_wL_4LIiBl47_tMqY%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=0
D, [2017-12-19T21:42:43.773979 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:42:43.774379 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=kTK0Tq4QDiT8DS34gaJpYq90D3BjKz-yEFLAmN2vE9w%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=1
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:42:43.836907 #6288] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=UtL_3pHN0SUGAM3bYsiiMTU5vPHogsdvpforih_DH5U%3D&timestamp=1513737763&ttl=0&uuid=34c0e8bc-2ebf-485b-911c-d3f87f1149e0&w=1
D, [2017-12-19T21:42:43.883810 #6288] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:42:43.883810 #6288] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
